FBgn_ID	FBtr_ID	FBpp_ID	Gene_Symbol	Immune_GO_terms
FBgn0287775	FBtr0086309	FBpp0085620	18w	GO:0006955
FBgn0287775	FBtr0086309	FBpp0085620	18w	GO:0019730
FBgn0000094	FBtr0346141	FBpp0311969	Anp	GO:0050830
FBgn0000094	FBtr0346141	FBpp0311969	Anp	GO:0009617
FBgn0029512	FBtr0082593	FBpp0082065	Aos1	GO:0002225
FBgn0033062	FBtr0086018	FBpp0085354	Ars2	GO:0050829
FBgn0028550	FBtr0070244	FBpp0070234	Atf3	GO:0006955
FBgn0264325	FBtr0084590	FBpp0083975	Atg6	GO:0050829
FBgn0012042	FBtr0087437	FBpp0086567	AttA	GO:0050829
FBgn0012042	FBtr0087437	FBpp0086567	AttA	GO:0050829
FBgn0012042	FBtr0087437	FBpp0086567	AttA	GO:0050830
FBgn0012042	FBtr0087437	FBpp0086567	AttA	GO:0050829
FBgn0012042	FBtr0087437	FBpp0086567	AttA	GO:0050829
FBgn0041581	FBtr0300942	FBpp0290164	AttB	GO:0050830
FBgn0041579	FBtr0305795	FBpp0297062	AttC	GO:0006952
FBgn0041579	FBtr0305795	FBpp0297062	AttC	GO:0009617
FBgn0041579	FBtr0305795	FBpp0297062	AttC	GO:0050830
FBgn0038530	FBtr0083470	FBpp0082908	AttD	GO:0050830
FBgn0288447	FBtr0339757	FBpp0308804	BaraA2	GO:0006952
FBgn0288447	FBtr0339757	FBpp0308804	BaraA2	GO:0009617
FBgn0034512	FBtr0345933	FBpp0311847	Bbd	GO:0019730
FBgn0034328	FBtr0086729	FBpp0085908	BomBc1	GO:0006952
FBgn0034328	FBtr0086729	FBpp0085908	BomBc1	GO:0009617
FBgn0034328	FBtr0086729	FBpp0085908	BomBc1	GO:0050830
FBgn0034328	FBtr0086729	FBpp0085908	BomBc1	GO:0050830
FBgn0034331	FBtr0086728	FBpp0085907	BomBc2	GO:0006952
FBgn0034329	FBtr0086662	FBpp0085843	BomS1	GO:0006952
FBgn0034329	FBtr0086662	FBpp0085843	BomS1	GO:0006952
FBgn0034329	FBtr0086662	FBpp0085843	BomS1	GO:0009617
FBgn0025583	FBtr0086664	FBpp0085845	BomS2	GO:0006952
FBgn0025583	FBtr0086664	FBpp0085845	BomS2	GO:0006952
FBgn0025583	FBtr0086664	FBpp0085845	BomS2	GO:0006952
FBgn0025583	FBtr0086664	FBpp0085845	BomS2	GO:0009617
FBgn0040736	FBtr0340328	FBpp0309289	BomS3	GO:0006952
FBgn0040736	FBtr0340328	FBpp0309289	BomS3	GO:0009617
FBgn0040736	FBtr0340328	FBpp0309289	BomS3	GO:0050830
FBgn0034330	FBtr0086663	FBpp0085844	BomS4	GO:0006952
FBgn0034330	FBtr0086663	FBpp0085844	BomS4	GO:0050830
