FBgn_ID	Gene_Symbol	FBtr_ID	FBpp_ID
FBgn0085506	CG40635	FBtr0302344	FBpp0291548
FBgn0259817	SteXh:CG42398	FBtr0300105	FBpp0289382
FBgn0085692	CG41561	FBtr0347010	FBpp0312442
FBgn0002121	l(2)gl	FBtr0078166	FBpp0077824
FBgn0031209	Ir21a	FBtr0113008	FBpp0111921
FBgn0051973	Cda5	FBtr0309226	FBpp0301165
FBgn0067779	dbr	FBtr0306539	FBpp0297497
FBgn0031213	galectin	FBtr0306540	FBpp0297498
FBgn0031214	CG11374	FBtr0306541	FBpp0297499
FBgn0002931	net	FBtr0290323	FBpp0288762
FBgn0031216	Zir	FBtr0078103	FBpp0077762
FBgn0031217	Creld	FBtr0078104	FBpp0077763
FBgn0026787	Nhe1	FBtr0301452	FBpp0290667
FBgn0005278	Sams	FBtr0089437	FBpp0088926
FBgn0031228	ND-15	FBtr0306542	FBpp0297500
FBgn0031219	CG13694	FBtr0078160	FBpp0077818
FBgn0031220	CG4822	FBtr0078156	FBpp0077814
FBgn0288229	CG3164	FBtr0078153	FBpp0077812
FBgn0001142	Gs1	FBtr0078114	FBpp0077773
FBgn0051976	ovm	FBtr0302194	FBpp0291404
FBgn0051975	CG31975	FBtr0302196	FBpp0291406
FBgn0051974	CG31974	FBtr0300987	FBpp0290209
FBgn0031224	CG11454	FBtr0078116	FBpp0077775
FBgn0259818	CG42399	FBtr0301929	FBpp0291141
FBgn0031227	Pus10	FBtr0078147	FBpp0077806
FBgn0031229	CG3436	FBtr0340650	FBpp0309501
FBgn0053635	CG33635	FBtr0091612	FBpp0090982
FBgn0016977	spen	FBtr0078121	FBpp0077780
FBgn0031231	mRpL10	FBtr0078124	FBpp0077783
FBgn0031232	CG11617	FBtr0078146	FBpp0077805
FBgn0031233	Tbc1d15-17	FBtr0332338	FBpp0304615
FBgn0266557	kis	FBtr0078144	FBpp0077803
FBgn0031235	CG13693	FBtr0078126	FBpp0077785
FBgn0283652	Rpp30	FBtr0336990	FBpp0307924
FBgn0031238	Dus1	FBtr0078140	FBpp0077799
FBgn0031239	CG17075	FBtr0308252	FBpp0300572
FBgn0031240	CG3345	FBtr0078127	FBpp0077786
FBgn0086912	mbm	FBtr0078139	FBpp0077798
FBgn0086856	CG11555	FBtr0343777	FBpp0310342
FBgn0086855	CG17078	FBtr0330650	FBpp0303500
FBgn0003444	smo	FBtr0078129	FBpp0077788
FBgn0031244	CG11601	FBtr0343780	FBpp0310345
FBgn0031245	CG3625	FBtr0113009	FBpp0111922
FBgn0025686	Amnionless	FBtr0330647	FBpp0303497
FBgn0031247	CG11562	FBtr0078130	FBpp0077789
FBgn0017457	U2af38	FBtr0333408	FBpp0305600
FBgn0024352	Stip1	FBtr0078131	FBpp0077790
